RawPath,Sample Name,Cell_type
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589102_cell_264.contacts.pairs.txt.gz,GSM3589102,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589103_cell_265.contacts.pairs.txt.gz,GSM3589103,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589104_cell_266.contacts.pairs.txt.gz,GSM3589104,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589105_cell_267.contacts.pairs.txt.gz,GSM3589105,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589106_cell_268.contacts.pairs.txt.gz,GSM3589106,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589107_cell_269.contacts.pairs.txt.gz,GSM3589107,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589108_cell_270.contacts.pairs.txt.gz,GSM3589108,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589109_cell_271.contacts.pairs.txt.gz,GSM3589109,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589110_cell_272.contacts.pairs.txt.gz,GSM3589110,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589111_cell_273.contacts.pairs.txt.gz,GSM3589111,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589112_cell_274.contacts.pairs.txt.gz,GSM3589112,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589113_cell_275.contacts.pairs.txt.gz,GSM3589113,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589114_cell_276.contacts.pairs.txt.gz,GSM3589114,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589115_cell_277.contacts.pairs.txt.gz,GSM3589115,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589116_cell_278.contacts.pairs.txt.gz,GSM3589116,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589117_cell_279.contacts.pairs.txt.gz,GSM3589117,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589118_cell_280.contacts.pairs.txt.gz,GSM3589118,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589119_cell_281.contacts.pairs.txt.gz,GSM3589119,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589120_cell_282.contacts.pairs.txt.gz,GSM3589120,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589121_cell_283.contacts.pairs.txt.gz,GSM3589121,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589122_cell_284.contacts.pairs.txt.gz,GSM3589122,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589123_cell_285.contacts.pairs.txt.gz,GSM3589123,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589124_cell_286.contacts.pairs.txt.gz,GSM3589124,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589125_cell_287.contacts.pairs.txt.gz,GSM3589125,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589126_cell_288.contacts.pairs.txt.gz,GSM3589126,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589127_cell_289.contacts.pairs.txt.gz,GSM3589127,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589128_cell_290.contacts.pairs.txt.gz,GSM3589128,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589129_cell_291.contacts.pairs.txt.gz,GSM3589129,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589130_cell_292.contacts.pairs.txt.gz,GSM3589130,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589131_cell_293.contacts.pairs.txt.gz,GSM3589131,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589132_cell_294.contacts.pairs.txt.gz,GSM3589132,main olfactory epithelium
